id	value	attempt_number	result_id	created_at	updated_at
1	1438	1	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
2	1352	2	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
3	1528	3	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
4	1673	4	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
5	1445	5	7081032	2025-05-06 05:21:04.199475	2025-05-06 05:21:04.199475
6	7047	1	7079543	2025-05-06 05:22:27.955271	2025-05-06 05:22:27.955271
7	-1	2	7079543	2025-05-06 05:22:27.955271	2025-05-06 05:22:27.955271
8	2166	1	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
9	-1	2	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
10	1439	3	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
11	1747	4	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
12	1487	5	7079253	2025-05-06 05:23:03.378766	2025-05-06 05:23:03.378766
13	1543	1	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
14	1827	2	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
15	1776	3	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
16	1597	4	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
17	1323	5	7079226	2025-05-06 05:23:03.414719	2025-05-06 05:23:03.414719
18	1816	1	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
19	-1	2	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
20	1480	3	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
21	1672	4	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
22	1592	5	7079242	2025-05-06 05:23:03.449267	2025-05-06 05:23:03.449267
23	1875	1	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
24	1334	2	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
25	1660	3	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
26	1679	4	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
27	-1	5	7079200	2025-05-06 05:23:03.471124	2025-05-06 05:23:03.471124
28	1671	1	7079241	2025-05-06 05:23:03.488808	2025-05-06 05:23:03.488808
29	1859	2	7079241	2025-05-06 05:23:03.488808	2025-05-06 05:23:03.488808
30	2039	3	7079241	2025-05-06 05:23:03.488808	2025-05-06 05:23:03.488808
31	1716	4	7079241	2025-05-06 05:23:03.488808	2025-05-06 05:23:03.488808
32	1359	5	7079241	2025-05-06 05:23:03.488808	2025-05-06 05:23:03.488808
33	1800	1	7079201	2025-05-06 05:23:03.506324	2025-05-06 05:23:03.506324
34	1526	2	7079201	2025-05-06 05:23:03.506324	2025-05-06 05:23:03.506324
35	1465	3	7079201	2025-05-06 05:23:03.506324	2025-05-06 05:23:03.506324
36	1946	4	7079201	2025-05-06 05:23:03.506324	2025-05-06 05:23:03.506324
37	-1	5	7079201	2025-05-06 05:23:03.506324	2025-05-06 05:23:03.506324
38	1919	1	7079159	2025-05-06 05:23:03.523606	2025-05-06 05:23:03.523606
39	1880	2	7079159	2025-05-06 05:23:03.523606	2025-05-06 05:23:03.523606
40	1759	3	7079159	2025-05-06 05:23:03.523606	2025-05-06 05:23:03.523606
41	1677	4	7079159	2025-05-06 05:23:03.523606	2025-05-06 05:23:03.523606
42	1430	5	7079159	2025-05-06 05:23:03.523606	2025-05-06 05:23:03.523606
43	1808	1	7079243	2025-05-06 05:23:03.542434	2025-05-06 05:23:03.542434
44	1546	2	7079243	2025-05-06 05:23:03.542434	2025-05-06 05:23:03.542434
45	2244	3	7079243	2025-05-06 05:23:03.542434	2025-05-06 05:23:03.542434
46	1839	4	7079243	2025-05-06 05:23:03.542434	2025-05-06 05:23:03.542434
47	1704	5	7079243	2025-05-06 05:23:03.542434	2025-05-06 05:23:03.542434
53	534	1	7079387	2025-05-06 05:24:11.162002	2025-05-06 05:24:11.162002
54	548	2	7079387	2025-05-06 05:24:11.162002	2025-05-06 05:24:11.162002
55	603	3	7079387	2025-05-06 05:24:11.162002	2025-05-06 05:24:11.162002
56	556	4	7079387	2025-05-06 05:24:11.162002	2025-05-06 05:24:11.162002
57	-1	5	7079387	2025-05-06 05:24:11.162002	2025-05-06 05:24:11.162002
58	480	1	7079374	2025-05-06 05:24:11.202164	2025-05-06 05:24:11.202164
59	620	2	7079374	2025-05-06 05:24:11.202164	2025-05-06 05:24:11.202164
60	535	3	7079374	2025-05-06 05:24:11.202164	2025-05-06 05:24:11.202164
61	498	4	7079374	2025-05-06 05:24:11.202164	2025-05-06 05:24:11.202164
62	627	5	7079374	2025-05-06 05:24:11.202164	2025-05-06 05:24:11.202164
63	717	1	7079448	2025-05-06 05:24:11.222356	2025-05-06 05:24:11.222356
64	535	2	7079448	2025-05-06 05:24:11.222356	2025-05-06 05:24:11.222356
65	627	3	7079448	2025-05-06 05:24:11.222356	2025-05-06 05:24:11.222356
66	468	4	7079448	2025-05-06 05:24:11.222356	2025-05-06 05:24:11.222356
67	499	5	7079448	2025-05-06 05:24:11.222356	2025-05-06 05:24:11.222356
68	607	1	7079464	2025-05-06 05:24:11.242031	2025-05-06 05:24:11.242031
69	569	2	7079464	2025-05-06 05:24:11.242031	2025-05-06 05:24:11.242031
70	405	3	7079464	2025-05-06 05:24:11.242031	2025-05-06 05:24:11.242031
71	700	4	7079464	2025-05-06 05:24:11.242031	2025-05-06 05:24:11.242031
72	489	5	7079464	2025-05-06 05:24:11.242031	2025-05-06 05:24:11.242031
78	1576	1	7080221	2025-05-06 13:40:42.083224	2025-05-06 13:40:42.083224
79	2281	2	7080221	2025-05-06 13:40:42.083224	2025-05-06 13:40:42.083224
80	1556	3	7080221	2025-05-06 13:40:42.083224	2025-05-06 13:40:42.083224
81	1411	4	7080221	2025-05-06 13:40:42.083224	2025-05-06 13:40:42.083224
82	1394	5	7080221	2025-05-06 13:40:42.083224	2025-05-06 13:40:42.083224
83	11503	1	7089540	2025-05-06 18:41:19.368521	2025-05-06 18:41:19.368521
84	10020	2	7089540	2025-05-06 18:41:19.368521	2025-05-06 18:41:19.368521
85	8841	3	7089540	2025-05-06 18:41:19.368521	2025-05-06 18:41:19.368521
86	9042	4	7089540	2025-05-06 18:41:19.368521	2025-05-06 18:41:19.368521
87	8108	5	7089540	2025-05-06 18:41:19.368521	2025-05-06 18:41:19.368521
93	9027	1	7089536	2025-05-06 18:41:19.503676	2025-05-06 18:41:19.503676
94	10552	2	7089536	2025-05-06 18:41:19.503676	2025-05-06 18:41:19.503676
95	10350	3	7089536	2025-05-06 18:41:19.503676	2025-05-06 18:41:19.503676
96	9113	4	7089536	2025-05-06 18:41:19.503676	2025-05-06 18:41:19.503676
97	-1	5	7089536	2025-05-06 18:41:19.503676	2025-05-06 18:41:19.503676
98	9667	1	7089530	2025-05-06 18:41:19.520989	2025-05-06 18:41:19.520989
99	9589	2	7089530	2025-05-06 18:41:19.520989	2025-05-06 18:41:19.520989
100	11118	3	7089530	2025-05-06 18:41:19.520989	2025-05-06 18:41:19.520989
101	10956	4	7089530	2025-05-06 18:41:19.520989	2025-05-06 18:41:19.520989
102	9874	5	7089530	2025-05-06 18:41:19.520989	2025-05-06 18:41:19.520989
103	36425	1	7075622	2025-05-09 04:02:44.779266	2025-05-09 04:02:44.779266
104	44134	2	7075622	2025-05-09 04:02:44.779266	2025-05-09 04:02:44.779266
105	-1	3	7075622	2025-05-09 04:02:44.779266	2025-05-09 04:02:44.779266
106	3014	1	7044275	2025-05-09 05:32:29.980861	2025-05-09 05:32:29.980861
107	2523	2	7044275	2025-05-09 05:32:29.980861	2025-05-09 05:32:29.980861
108	1601	3	7044275	2025-05-09 05:32:29.980861	2025-05-09 05:32:29.980861
109	2584	4	7044275	2025-05-09 05:32:29.980861	2025-05-09 05:32:29.980861
110	3134	5	7044275	2025-05-09 05:32:29.980861	2025-05-09 05:32:29.980861
111	-1	1	7044276	2025-05-09 05:32:29.986378	2025-05-09 05:32:29.986378
112	1038	2	7044276	2025-05-09 05:32:29.986378	2025-05-09 05:32:29.986378
113	933	3	7044276	2025-05-09 05:32:29.986378	2025-05-09 05:32:29.986378
114	1036	4	7044276	2025-05-09 05:32:29.986378	2025-05-09 05:32:29.986378
115	1224	5	7044276	2025-05-09 05:32:29.986378	2025-05-09 05:32:29.986378
